,x,y,Power (MW),Std. Dev.
0,0,-4,1.8368145256395207,6.440673226555241e-05
1,1,-4,1.838558189125398,4.659988386388277e-05
2,2,-4,1.868189055123379,3.24125627742628e-05
3,3,-4,1.9394660074445687,4.225773487674805e-05
4,4,-4,1.9115208070736756,4.372797107004304e-05
5,-1,-3,1.9242926620977387,5.698447600786927e-05
6,0,-3,1.9427405934093094,6.302478890464026e-05
7,1,-3,1.9728033499555195,5.646696008244016e-05
8,2,-3,2.026220196684636,6.417321165603785e-05
9,3,-3,2.0755707253513815,4.944442640961497e-05
10,4,-3,1.965234142835462,5.383605149030633e-05
11,-2,-2,1.919701122904721,5.047206730941125e-05
12,-1,-2,2.0019586956069144,6.945013512392394e-05
13,0,-2,2.1148168089925705,7.90355807022462e-05
14,2,-2,2.1424235131996205,7.429923473639085e-05
15,3,-2,2.154405416674428,5.670150714231385e-05
16,4,-2,1.9529529918212498,5.953210407475946e-05
17,-3,-1,1.993514548396864,4.519509615654552e-05
18,-2,-1,2.062250993905998,8.252166024230784e-05
19,-1,-1,2.211719786268702,9.409189931365264e-05
20,0,-1,2.229239420487815,8.679639924704492e-05
21,1,-1,2.17599695469113,9.539589134539419e-05
22,2,-1,2.1823250652918986,9.732459771429412e-05
23,3,-1,2.0647917484896494,6.942734742212073e-05
24,4,-1,1.8820025574869295,5.240700579017056e-05
25,-4,0,1.8435353607480034,4.140666790262717e-05
26,-3,0,2.0635448906579383,5.1791939054311015e-05
27,-1,0,2.222778268263038,8.599535776583835e-05
28,0,0,2.280495457096965,7.244509163002678e-05
29,1,0,2.194156938604635,0.00010479943231754964
30,3,0,1.9072262215478144,6.188862821566592e-05
31,4,0,1.693763244790564,3.6147551067229146e-05
32,-4,1,1.9729922573198806,2.8663711386109684e-05
33,-3,1,2.0665238922864404,7.040455701211816e-05
34,-2,1,2.200924699603013,9.160100993062734e-05
35,-1,1,2.2130866869866272,8.82401888796297e-05
36,0,1,2.144374966852222,8.322714310128414e-05
37,1,1,2.0202066633660305,8.018301213046921e-05
38,2,1,1.9255563219002758,8.210444749426293e-05
39,3,1,1.7748112319619125,3.545729230135004e-05
40,-4,2,1.981325301023285,4.388348671432785e-05
41,-3,2,2.072605061344581,6.940119290077011e-05
42,-2,2,2.1422471623263197,9.687313827548586e-05
43,0,2,1.9999566775057573,7.497949747028417e-05
44,1,2,1.955282574832911,6.476088610173184e-05
45,2,2,1.8218307615065765,4.620244883628012e-05
46,-4,3,1.9297690722681888,4.5780032033182935e-05
47,-3,3,2.044109542025806,6.229282025453181e-05
48,-2,3,2.1050956355564634,7.384473261273966e-05
49,-1,3,2.003543879415082,6.99399566532169e-05
50,0,3,2.0058824281681966,5.6687083952730524e-05
51,1,3,1.8656968928788162,5.82423165191586e-05
52,-4,4,1.8781249101724151,6.069786452921393e-05
53,-3,4,2.0046026144222044,5.517750052947624e-05
54,-2,4,2.0009654816122695,5.857726096162265e-05
55,-1,4,1.9680394976314053,4.851046942931873e-05
56,0,4,1.8426996540985747,4.4730855453967646e-05
