,x,y,Power (MW),Std. Dev.
0,3,-8,1.2731663532073465,7.003452378441471e-05
1,4,-8,1.2817245370455672,6.397142379858713e-05
2,5,-8,1.272483118502583,6.747898350416452e-05
3,0,-7,1.3047710900530882,6.92614621507845e-05
4,1,-7,1.4236489941079586,5.3247880956984127e-05
5,2,-7,1.489434974594766,4.829030700826879e-05
6,3,-7,1.3729106899202472,5.0866991202410566e-05
7,4,-7,1.390854949517644,6.69278266322191e-05
8,5,-7,1.4196732224946769,6.427189637564332e-05
9,6,-7,1.4147530834736293,6.487936373021209e-05
10,7,-7,1.2815850807774944,7.915914835867127e-05
11,-1,-6,1.365369920247872,4.140260966698674e-05
12,0,-6,1.651538227326733,3.9678843690874605e-05
13,1,-6,1.7704650637199684,4.505595322174542e-05
14,3,-6,1.6858555082734161,4.420476086321373e-05
15,5,-6,1.7704344725481191,5.150975865196242e-05
16,6,-6,1.579735515359726,5.864658486499069e-05
17,7,-6,1.4027284152237465,6.408457454675599e-05
18,-3,-5,1.291257663868511,6.739433029641431e-05
19,-2,-5,1.4696689275130295,4.3870370002316185e-05
20,-1,-5,1.7650779483245262,4.939780253619564e-05
21,0,-5,2.040314345400631,5.642507832651309e-05
22,1,-5,2.0589836045860404,4.412220319537369e-05
23,2,-5,2.006666408793603,3.3989808537969e-05
24,3,-5,2.1096165363147668,3.2268970151616983e-05
25,4,-5,2.1438397929375883,4.847941441842859e-05
26,5,-5,1.9934782164548395,4.880275422361482e-05
27,6,-5,1.747919185514484,4.5316987167811245e-05
28,7,-5,1.3706461906137768,4.359297495773956e-05
29,8,-5,1.1668023135221082,4.3133898100867867e-05
30,-4,-4,1.1984499003040314,6.623894840443447e-05
31,-3,-4,1.4545508127615225,4.490038476405646e-05
32,-1,-4,2.0829863577697476,2.904912164243266e-05
33,5,-4,2.050830667203424,3.899234891602124e-05
34,7,-4,1.342814245147939,4.7900820348944874e-05
35,8,-4,1.1234798878288992,3.806074076172824e-05
36,-5,-3,1.236656129993771,4.532212469230141e-05
37,-4,-3,1.3418744322193594,4.6672407079097126e-05
38,-3,-3,1.739525363896386,4.1295483283840095e-05
39,-2,-3,2.1515295796582294,4.7536198365771034e-05
40,5,-3,2.1020107174056912,5.865461521300237e-05
41,6,-3,1.6621503597652565,6.453536824034187e-05
42,7,-3,1.3302132624273164,3.614649473919995e-05
43,8,-3,1.1539044317553986,5.0622234696619436e-05
44,-5,-2,1.4144194118182771,6.118358600708578e-05
45,-3,-2,2.1679813890429056,4.8766849495017204e-05
46,5,-2,2.0974383025783387,5.2494692459427895e-05
47,7,-2,1.3248789041805784,3.896724418392524e-05
48,-6,-1,1.4126757839484347,5.5797195965491665e-05
49,-5,-1,1.7627260633402277,5.2991173911350085e-05
50,-4,-1,2.139014021813976,5.1848730823243863e-05
51,5,-1,1.9430153648307462,5.1375444268352834e-05
52,6,-1,1.564317217069496,4.831362812922095e-05
53,7,-1,1.2626926928291642,4.3970148108776085e-05
54,-7,0,1.2609340377182248,5.475210932247546e-05
55,-6,0,1.643310244548353,4.113099689474839e-05
56,-5,0,2.028650505912365,6.327636402251494e-05
57,5,0,1.7768922765550097,5.3153728740143036e-05
58,6,0,1.4212995252151588,5.932233222813573e-05
59,7,0,1.1266185440248782,4.5590246130536175e-05
60,-7,1,1.4892079974181012,5.5069795829962664e-05
61,-6,1,1.7345877920731192,4.247178387960538e-05
62,-5,1,2.111657009694349,3.823703219489096e-05
63,4,1,1.8851470421670686,5.8402194733610965e-05
64,5,1,1.5302504146774953,4.030949498142974e-05
65,6,1,1.2768592179811074,4.144300803413665e-05
66,-7,2,1.4833697857219714,5.209542743669088e-05
67,-5,2,2.1643980604577,3.689441932116357e-05
68,3,2,1.9415334726168518,3.8336782996021915e-05
69,5,2,1.2160587998157535,4.5482511608162054e-05
70,-8,3,1.3814299114146196,7.396439020891334e-05
71,-7,3,1.5330452544489768,5.0300079080698054e-05
72,-6,3,1.7955942194688028,4.136213655449186e-05
73,-5,3,2.195099048297035,5.20718620101145e-05
74,2,3,1.9107100479318173,4.166744427564886e-05
75,3,3,1.589575299052669,4.94244467489843e-05
76,4,3,1.2508707843623967,5.464832170160931e-05
77,5,3,1.0814454868705268,4.6727344471294014e-05
78,-8,4,1.2965254749602644,7.835524326114458e-05
79,-7,4,1.4116366886943144,3.8421908176961325e-05
80,-5,4,2.1051002557693663,5.660655182881513e-05
81,1,4,1.9361737861148314,3.872957176179486e-05
82,3,4,1.283082037917128,4.847966323719094e-05
83,4,4,1.046412613600958,4.741378822290679e-05
84,-8,5,1.2789820255821907,6.593272258845191e-05
85,-7,5,1.4452363966560633,4.440194276114666e-05
86,-6,5,1.7494221508013947,4.0551642117972826e-05
87,-5,5,1.9863670516217296,4.920129620095495e-05
88,-4,5,2.1727145825504284,5.917787156098586e-05
89,-3,5,2.207829546835949,4.83755893999925e-05
90,-2,5,2.2597953583514157,3.89749198327395e-05
91,-1,5,2.2091992861880447,4.537501338639636e-05
